time,seconds_elapsed,bpm,rolling_mean
2024-12-11 12:48:06.998134500,2.423134521484375,75.0,89.0
2024-12-11 12:48:11.998134500,7.423134521484375,74.0,89.5
2024-12-11 12:48:16.998134500,12.423134521484377,70.0,91.0
2024-12-11 12:48:21.998134500,17.423134521484375,71.0,91.5
2024-12-11 12:48:27.998134500,23.42313452148437,72.0,91.6
2024-12-11 12:48:35.998134500,31.42313452148437,70.0,92.0
2024-12-11 12:48:37.998134500,33.42313452148438,70.0,92.28571428571429
2024-12-11 12:48:41.998134500,37.42313452148438,72.0,92.25
2024-12-11 12:48:46.998134500,42.42313452148438,71.0,92.33333333333333
2024-12-11 12:48:55.998134500,51.42313452148438,74.0,92.1
2024-12-11 12:48:57.998134500,53.42313452148438,76.0,91.72727272727273
2024-12-11 12:49:04.998134500,60.42313452148438,72.0,91.75
2024-12-11 12:49:10.998134500,66.42313452148437,69.0,92.0
2024-12-11 12:49:11.998134500,67.42313452148437,69.0,92.21428571428571
2024-12-11 12:49:19.998134500,75.42313452148437,67.0,92.53333333333333
2024-12-11 12:49:21.998134500,77.42313452148437,67.0,92.8125
2024-12-11 12:49:26.998134500,82.42313452148437,65.0,93.17647058823529
2024-12-11 12:49:35.998134500,91.42313452148436,64.0,93.55555555555556
2024-12-11 12:49:38.998134500,94.42313452148436,65.0,93.84210526315789
2024-12-11 12:49:41.998134500,97.42313452148436,66.0,94.05
2024-12-11 12:49:50.998134500,106.42313452148436,72.0,93.95238095238095
2024-12-11 12:49:51.998134500,107.42313452148436,73.0,93.81818181818181
2024-12-11 12:49:56.998134500,112.42313452148436,75.0,93.6086956521739
2024-12-11 12:50:01.998134500,117.42313452148436,74.0,93.45833333333333
2024-12-11 12:50:06.998134500,122.42313452148436,70.0,93.48
2024-12-11 12:50:15.998134500,131.42313452148437,69.0,93.53846153846153
2024-12-11 12:50:19.998134500,135.42313452148437,69.0,93.5925925925926
2024-12-11 12:50:24.998134500,140.42313452148437,68.0,93.67857142857143
2024-12-11 12:50:27.998134500,143.42313452148437,68.0,93.75862068965517
2024-12-11 12:50:31.998134500,147.42313452148437,65.0,93.93333333333334
2024-12-11 12:50:40.998134500,156.42313452148437,65.0,94.09677419354838
2024-12-11 12:50:41.998134500,157.42313452148437,65.0,94.25
2024-12-11 12:50:48.998134500,164.42313452148437,65.0,94.39393939393939
2024-12-11 12:50:51.998134500,167.42313452148437,66.0,94.5
2024-12-11 12:50:56.998134500,172.42313452148437,67.0,94.57142857142857
2024-12-11 12:51:02.998134500,178.42313452148437,68.0,94.61111111111111
2024-12-11 12:51:12.998134500,188.4231345214844,69.0,94.62162162162163
2024-12-11 12:51:16.998134500,192.4231345214844,71.0,94.57894736842105
2024-12-11 12:51:35.998134500,211.4231345214844,71.0,94.53846153846153
2024-12-11 12:51:37.998134500,213.4231345214844,72.0,94.475
2024-12-11 12:51:44.998134500,220.4231345214844,70.0,94.46341463414635
2024-12-11 12:51:49.998134500,225.4231345214844,70.0,94.45238095238095
2024-12-11 12:51:55.998134500,231.4231345214844,70.0,94.44186046511628
2024-12-11 12:51:56.998134500,232.4231345214844,70.0,94.43181818181819
2024-12-11 12:52:01.998134500,237.4231345214844,70.0,94.42222222222222
2024-12-11 12:52:09.998134500,245.4231345214844,72.0,94.3695652173913
2024-12-11 12:52:11.998134500,247.4231345214844,72.0,94.31914893617021
2024-12-11 12:52:18.998134500,254.4231345214844,73.0,94.25
2024-12-11 12:52:21.998134500,257.4231345214844,74.0,94.16326530612245
2024-12-11 12:52:30.998134500,266.4231345214844,76.0,94.04
2024-12-11 12:52:31.998134500,267.4231345214844,76.0,93.92156862745098
2024-12-11 12:52:37.998134500,273.4231345214844,74.0,93.84615384615384
2024-12-11 12:52:45.998134500,281.4231345214844,73.0,93.79245283018868
2024-12-11 12:52:50.998134500,286.4231345214844,73.0,93.74074074074075
2024-12-11 12:52:51.998134500,287.4231345214844,72.0,93.7090909090909
2024-12-11 12:52:58.998134500,294.4231345214844,71.0,93.69642857142857
2024-12-11 12:53:01.998134500,297.4231345214844,72.0,93.66666666666667
2024-12-11 12:53:20.998134500,316.4231345214844,68.0,93.70689655172414
2024-12-11 12:53:22.998134500,318.4231345214844,67.0,93.76271186440678
2024-12-11 12:53:29.998134500,325.4231345214844,69.0,93.78333333333333
2024-12-11 12:53:35.998134500,331.4231345214844,69.0,93.80327868852459
2024-12-11 12:53:39.998134500,335.4231345214844,69.0,93.8225806451613
2024-12-11 12:53:41.998134500,337.4231345214844,69.0,93.84126984126983
2024-12-11 12:53:55.998134500,351.4231345214844,68.0,93.875
2024-12-11 12:53:58.998134500,354.4231345214844,69.0,93.8923076923077
2024-12-11 12:54:03.998134500,359.4231345214844,68.0,93.92424242424242
2024-12-11 12:54:19.998134500,375.4231345214844,66.0,93.98507462686567
2024-12-11 12:54:22.998134500,378.4231345214844,66.0,94.04411764705883
2024-12-11 12:54:30.998134500,386.4231345214844,68.0,94.07246376811594
2024-12-11 12:54:35.998134500,391.4231345214844,66.0,94.12857142857143
2024-12-11 12:54:36.998134500,392.4231345214844,66.0,94.1830985915493
2024-12-11 12:54:45.998134500,401.4231345214844,66.0,94.23611111111111
2024-12-11 12:54:48.998134500,404.4231345214844,67.0,94.27397260273973
2024-12-11 12:54:54.998134500,410.4231345214844,67.0,94.3108108108108
2024-12-11 12:54:57.998134500,413.4231345214844,66.0,94.36
2024-12-11 12:55:05.998134500,421.4231345214844,67.0,94.39473684210526
2024-12-11 12:55:08.998134500,424.4231345214844,66.0,94.44155844155844
