time,seconds_elapsed,bpm
1742829787200219904,76.82721996307373,90.0
1742829792200219904,81.82721996307373,89.0
1742829796200219904,85.82721996307373,89.0
1742829798200219904,87.82721996307373,89.0
1742829805200219904,94.82721996307373,93.0
1742829808200219904,97.82721996307373,96.0
1742829814200219904,103.82721996307373,105.0
1742829819575219712,109.20221972465515,110.0
1742829827575219712,117.20221972465515,110.0
1742829838575219712,128.20221972465515,107.00000000000001
1742829846575219712,136.20221972465515,105.0
1742829848575219968,138.20221996307373,104.0
1742829859575219712,149.20221972465515,104.0
1742829867575219712,157.20221972465515,106.0
1742829869575219968,159.20221996307373,106.0
1742829877575219712,167.20221972465515,105.0
1742829878575219968,168.20221996307373,105.0
1742829883575219968,173.20221996307373,105.0
1742829891575219968,181.20221996307373,108.0
1742829893575219968,183.20221996307373,107.00000000000001
1742829901575219712,191.20221972465515,109.0
1742829904575219712,194.20221972465515,109.0
1742829947575219968,237.20221996307373,105.0
1742829952575219968,242.20221996307373,106.0
1742829957575219712,247.20221972465515,101.0
1742829958575219712,248.20221972465515,102.0
1742829963575219968,253.20221996307373,104.0
1742829971575219712,261.20221972465515,107.00000000000001
1742829977575219968,267.20221996307373,107.00000000000001
1742829980575219712,270.20221972465515,107.00000000000001
1742829983575219712,273.20221972465515,107.00000000000001
1742829988575219968,278.20221996307373,107.00000000000001
1742829997575219968,287.20221996307373,109.0
1742830002575219968,292.20221996307373,111.0
1742830005575219712,295.20221972465515,110.0
1742830009575219712,299.20221972465515,110.0
1742830013575219712,303.20221972465515,110.0
1742830022575219968,312.20221996307373,107.00000000000001
1742830026575219968,316.20221996307373,107.00000000000001
1742830028575219712,318.20221972465515,106.0
1742830037575219968,327.20221996307373,110.0
1742830042575219712,332.20221972465515,108.0
1742830045575219968,335.20221996307373,108.0
1742830052575219968,342.20221996307373,108.0
1742830053575219712,343.20221972465515,108.0
1742830058575219712,348.20221972465515,108.0
1742830063575219712,353.20221972465515,108.0
1742830072575219968,362.20221996307373,108.0
1742830076575219712,366.20221972465515,108.0
1742830082575219968,372.20221996307373,106.0
1742830084575219712,374.20221972465515,106.0
1742830088575219712,378.20221972465515,106.0
1742830097575219968,387.20221996307373,106.0
1742830099575219712,389.20221972465515,107.00000000000001
1742830106575219968,396.20221996307373,109.0
1742830109575219968,399.20221996307373,111.0
1742830117575219968,407.20221996307373,112.0
1742830119575219712,409.20221972465515,112.0
1742830127575219968,417.20221996307373,111.0
1742830138575219968,428.20221996307373,113.0
1742830143575219968,433.20221996307373,110.0
1742830149575219968,439.20221996307373,104.0
1742830153575219968,443.20221996307373,105.0
1742830161575219712,451.20221972465515,106.0
1742830177575219968,467.20221996307373,108.0
1742830183575219968,473.20221996307373,106.0
1742830188575219968,478.20221996307373,107.00000000000001
1742830204575219968,494.20221996307373,102.0
1742830210575219712,500.20221972465515,104.0
1742830227575219968,517.2022199630737,104.0
1742830232575219712,522.2022197246552,101.0
1742830233575219712,523.2022197246552,100.0
1742830238575219968,528.2022199630737,98.0
1742830245575219968,535.2022199630737,102.0
1742830248575219712,538.2022197246552,102.0
1742830282575219968,572.2022199630737,106.0
1742830283575219968,573.2022199630737,106.0
1742830290575219968,580.2022199630737,106.0
1742830295575219968,585.2022199630737,108.0
1742830298575219968,588.2022199630737,107.00000000000001
1742830305575219712,595.2022197246552,107.00000000000001
1742830310575219968,600.2022199630737,107.00000000000001
1742830315575219712,605.2022197246552,107.00000000000001
1742830322575219968,612.2022199630737,107.00000000000001
1742830323575219712,613.2022197246552,108.0
1742830332575219712,622.2022197246552,110.0
1742830337575219712,627.2022197246552,109.0
1742830340575219968,630.2022199630737,110.0
1742830343575219712,633.2022197246552,110.0
1742830350575219712,640.2022197246552,108.0
1742830356575219968,646.2022199630737,107.00000000000001
1742830360575219712,650.2022197246552,107.00000000000001
1742830363575219712,653.2022197246552,106.0
1742830369575219968,659.2022199630737,105.0
1742830375575219968,665.2022199630737,106.0
1742830382575219968,672.2022199630737,106.0
1742830383575219968,673.2022199630737,106.0
1742830392575219968,682.2022199630737,106.0
1742830394575219712,684.2022197246552,107.00000000000001
1742830398575219712,688.2022197246552,106.0
1742830407575219712,697.2022197246552,107.00000000000001
1742830409575219712,699.2022197246552,106.0
1742830417575219712,707.2022197246552,105.0
1742830428575219968,718.2022199630737,107.00000000000001
1742830468575219968,758.2022199630737,109.0
1742830475575219712,765.2022197246552,108.0
1742830478575219712,768.2022197246552,109.0
1742830485575219712,775.2022197246552,109.0
1742830492575219712,782.2022197246552,109.0
1742830497575219712,787.2022197246552,108.0
1742830501575219712,791.2022197246552,107.00000000000001
1742830511575219712,801.2022197246552,106.0
1742830515575219712,805.2022197246552,105.0
1742830522575219712,812.2022197246552,105.0
1742830525325219840,814.9522199630737,105.0
1742830530325219840,819.9522199630737,105.0
1742830537325219840,826.9522199630737,108.0
1742830539325219840,828.9522199630737,108.0
1742830548325219840,837.9522199630737,107.00000000000001
1742830553325219840,842.9522199630737,108.0
1742830558325219840,847.9522199630737,107.00000000000001
1742830562325219840,851.9522199630737,107.00000000000001
1742830566325219840,855.9522199630737,108.0
1742830572325219840,861.9522199630737,108.0
1742830576325219840,865.9522199630737,107.00000000000001
1742830581325219840,870.9522199630737,104.0
1742830584325219840,873.9522199630737,105.0
1742830591325219840,880.9522199630737,107.00000000000001
1742830598325219840,887.9522199630737,107.00000000000001
1742830603325219840,892.9522199630737,107.00000000000001
1742830604325219840,893.9522199630737,107.00000000000001
1742830612325219840,901.9522199630737,106.0
1742830618325219840,907.9522199630737,106.0
1742830622325219840,911.9522199630737,104.0
1742830627325219840,916.9522199630737,106.0
1742830629325219840,918.9522199630737,105.0
1742830634325219840,923.9522199630737,105.0
1742830643325219840,932.9522199630737,106.0
1742830644325219840,933.9522199630737,106.0
1742830649325219840,938.9522199630737,110.0
1742830656325219840,945.9522199630737,113.0
1742830663325219840,952.9522199630737,114.0
1742830668325219840,957.9522199630737,115.0
1742830669325219840,958.9522199630737,115.0
1742830675325219840,964.9522199630737,114.0
1742830680325219840,969.9522199630737,114.0
1742830684325219840,973.9522199630737,112.0
1742830689325219840,978.9522199630737,113.0
1742830698325219840,987.9522199630737,114.0
1742830702325219840,991.9522199630737,112.0
1742830704325219840,993.9522199630737,112.0
1742830711325219840,1000.9522199630737,115.0
1742830715325219840,1004.9522199630737,113.0
1742830721325219840,1010.9522199630737,113.0
1742830724325219840,1013.9522199630737,113.0
1742830731325219840,1020.9522199630737,114.0
1742830734325219840,1023.9522199630737,113.0
1742830743325219840,1032.9522199630737,112.0
1742830745325219840,1034.9522199630737,112.0
1742830753325219840,1042.9522199630737,111.0
1742830754325219840,1043.9522199630737,112.0
1742830759325219840,1048.9522199630737,110.0
1742830768325219840,1057.9522199630737,113.0
1742830772325219840,1061.9522199630737,114.0
1742830777325219840,1066.9522199630737,114.0
1742830779325219840,1068.9522199630737,114.0
1742830784325219840,1073.9522199630737,111.0
1742830789325219840,1078.9522199630737,110.0
1742830794325219840,1083.9522199630737,109.0
1742830803325219840,1092.9522199630737,109.0
1742830807325219840,1096.9522199630737,111.0
1742830810325219840,1099.9522199630737,113.0
1742830817325219840,1106.9522199630737,116.0
1742830821325219840,1110.9522199630737,116.0
1742830828325219840,1117.9522199630737,115.0
1742830832325219840,1121.9522199630737,115.0
1742830837325219840,1126.9522199630737,115.0
1742830843325219840,1132.9522199630737,116.0
1742830848328286464,1137.9552865028381,116.0
1742830853328286464,1142.9552865028381,114.0
1742830858328286464,1147.9552865028381,113.0
1742830863328286464,1152.9552865028381,112.0
1742830864328286464,1153.9552865028381,112.0
1742830872328286464,1161.9552865028381,111.0
1742830880328286464,1169.9552865028381,108.0
1742830888328286464,1177.9552865028381,107.00000000000001
1742830893328286464,1182.9552865028381,106.0
1742830897328286464,1186.9552865028381,105.0
1742830903328286464,1192.9552865028381,106.0
1742830904328286464,1193.9552865028381,106.0
1742830909328286464,1198.9552865028381,103.0
1742830914328286464,1203.9552865028381,107.00000000000001
1742830923328286464,1212.9552865028381,107.00000000000001
1742830928328286464,1217.9552865028381,108.0
1742830932328286464,1221.9552865028381,109.0
1742830934328286464,1223.9552865028381,110.0
1742830939328286464,1228.9552865028381,112.0
1742830944328286464,1233.9552865028381,118.0
1742830953328286464,1242.9552865028381,120.0
1742830956328286464,1245.9552865028381,120.0
1742830960328286464,1249.9552865028381,119.0
1742830964328286464,1253.9552865028381,119.0
1742830970328286464,1259.9552865028381,119.0
1742830978328286464,1267.9552865028381,118.0
1742830981328286464,1270.9552865028381,118.0
1742830988578286080,1278.2052862644196,116.0
1742830990578286336,1280.2052865028381,116.0
1742830995578286080,1285.2052862644196,116.0
1742831004578286336,1294.2052865028381,117.0
1742831009578286080,1299.2052862644196,121.0
1742831010578286336,1300.2052865028381,121.0
1742831019578286080,1309.2052862644196,115.0
1742831022578286080,1312.2052862644196,116.0
1742831026578286080,1316.2052862644196,116.0
