,time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed,heartbeat,sound,motion
0,1742829710493495000,0.120495117,55.94619178771973,-1.0,-1.0,51.51009249062432,8.946241379,-1.0,168.6745901133704,35.56468963623047,0.005664588,-1.0,90.0,-65.85047299767578,0.089062431
1,1742829710539134000,0.166134033,55.94619178771973,-1.0,-1.0,51.51008859044538,8.946241379,-1.0,295.3528737759344,35.56468963623047,0.005699722,-1.0,90.0,-65.285137823125,0.089062431
2,1742829710541277000,0.168276855,55.94619178771973,-1.0,-1.0,51.51008858978221,8.946241379,-1.0,295.3528792077199,35.56468963623047,0.005699728,-1.0,90.0,-65.24094531947266,0.089062431
3,1742829710910200000,0.537199951,55.00610542297363,-1.0,-1.0,51.50995200753784,10.291818618774414,-1.0,48.596464953195465,23.01904297,0.005387721,-1.0,90.0,-63.084181860585936,0.07279474036435891
4,1742829714852813800,4.479813720703125,53.90179443359375,2.240000009536743,-1.0,51.50996603076487,9.187507629394531,-1.0,21.54374598741386,3.0,0.005130898,2.0799999237060547,90.0,-58.68252035243029,0.35204638624911105
5,1742829715852812500,5.4798125,53.13653564453125,1.1200000047683716,50.69816511449768,51.51004398246436,8.422248840332031,201.4453125,9.542248570091964,3.0,0.005202563,1.3899999856948853,90.0,-60.220566101933585,3.2862352781769886
6,1742829716852810000,6.479810059,54.19952392578125,0.75,51.51473472034021,51.51006954726903,9.485237121582031,153.28125,13.138977517720098,3.0,0.005229888,1.149999976158142,90.0,-59.790225933759764,0.0
7,1742829717852809700,7.479809814453125,54.75109863,0.8700000047683716,51.79391187247531,51.51005701632379,10.03681182861328,156.796875,9.9318422033068,3.0,0.005273307,1.059999942779541,90.0,-56.12036397094727,4.520181549111768
8,1742829718852807200,8.479807129,55.36859130859375,1.2899999618530271,38.25555486197209,51.510110702413606,10.654304504394531,225.703125,14.514475050816085,3.0,0.005194768,2.150000095367432,90.0,-58.38909897436523,1.2408391741676514
9,1742829719853104600,9.480104736328125,50.26336669921875,1.5299999713897705,19.981711586683133,51.51016748980759,5.549079895019531,54.4921875,12.652257653427585,3.0,0.005275151,4.949999809265137,90.0,-59.12184958559234,5.834892912739343
