time,seconds_elapsed,relativeAltitude,pressure
1742829710005292800,-0.367707275390625,0,1018.0103302001953
1742829711013863700,0.64086376953125,-0.031707763671875,1018.0143737792969
1742829712022431000,1.649430908203125,-0.06869888305664062,1018.0183410644531
1742829713030959900,2.6579599609375,-0.10040664672851562,1018.0226898193359
1742829714039449000,3.666448974609375,-0.1109771728515625,1018.0233764648438
1742829714387127000,4.014126953125,-0.158538818359375,1018.0294036865234
1742829715462935800,5.089935791015625,-0.17967605590820312,1018.0318450927734
1742829716538790000,6.165789794921875,-0.253662109375,1018.040771484375
1742829717614657000,7.241656982421875,-0.3540687561035156,1018.0526733398438
1742829718690476000,8.31747607421875,-0.4967536926269531,1018.0703735351562
1742829719766291000,9.393291015625,-0.6183013916015625,1018.0849456787109
1742829720842118100,10.4691181640625,-0.7662734985351562,1018.1026458740234
1742829721917966800,11.544966796875,-0.8772506713867188,1018.1163024902344
1742829722993787000,12.620786865234376,-0.9459495544433594,1018.1244659423828
1742829724069564000,13.69656396484375,-0.982940673828125,1018.128662109375
1742829725145370000,14.7723701171875,-1.046356201171875,1018.1361389160156
1742829726221165000,15.8481650390625,-1.0833511352539062,1018.140869140625
1742829727296968000,16.923968017578126,-1.109771728515625,1018.1440734863281
1742829728372788000,17.9997880859375,-1.1256256103515625,1018.1463623046875
1742829729448588800,19.0755888671875,-1.173187255859375,1018.15185546875
1742829730524385000,20.151385009765626,-1.1890411376953125,1018.1537628173828
1742829731600169000,21.2271689453125,-1.20489501953125,1018.1556701660156
1742829732675939800,22.30293994140625,-1.2418899536132812,1018.1603240966797
1742829733751753700,23.378753662109375,-1.2577438354492188,1018.1622314453125
1742829734827616000,24.454615966796876,-1.268310546875,1018.1634521484375
1742829735903466000,25.530466064453126,-1.2735977172851562,1018.1640625
1742829736979280000,26.60627978515625,-1.2788810729980469,1018.1647491455078
1742829738055059000,27.682058837890626,-1.2788810729980469,1018.1647491455078
1742829739130818800,28.75781884765625,-1.3264427185058594,1018.170166015625
1742829740206553900,29.833553955078123,-1.3581504821777344,1018.1742095947266
1742829741282307800,30.909307861328124,-1.4162826538085938,1018.1807708740234
1742829742358055000,31.985054931640626,-1.4691276550292969,1018.1874847412109
1742829743433764000,33.06076416015625,-1.5114059448242188,1018.1924438476562
1742829744509559000,34.13655908203125,-1.5114059448242188,1018.1924438476562
1742829745585353000,35.21235302734375,-1.4955520629882812,1018.1908416748047
1742829746661063000,36.28806298828125,-1.4691276550292969,1018.1874847412109
1742829747736825000,37.3638251953125,-1.4532737731933594,1018.1857299804688
1742829748812583000,38.4395830078125,-1.4374198913574219,1018.1836700439453
1742829749888330000,39.515330078125,-1.4109992980957031,1018.1804656982422
1742829750964056000,40.59105615234375,-1.3792915344238281,1018.1768798828125
1742829752039815000,41.66681494140625,-1.3792915344238281,1018.1768798828125
1742829753115559000,42.74255883789063,-1.4004287719726562,1018.1793975830078
1742829754191272000,43.81827197265625,-1.4057121276855469,1018.1798553466797
1742829755266976000,44.89397607421875,-1.4109992980957031,1018.1806945800781
1742829756342670000,45.969670166015625,-1.4109992980957031,1018.1806945800781
1742829757418419000,47.0454189453125,-1.3317298889160156,1018.1707763671875
1742829758494169000,48.12116918945313,-1.2207489013671875,1018.1571197509766
1742829759569884000,49.1968837890625,-1.0886344909667969,1018.1415557861328
1742829760645623800,50.27262377929687,-0.9406661987304688,1018.1238555908203
1742829761721366000,51.34836596679688,-0.792694091796875,1018.1057739257812
1742829762797047800,52.4240478515625,-0.7028541564941406,1018.0952453613281
1742829763872726000,53.49972607421875,-0.6235847473144531,1018.0855560302734
1742829764948432000,54.57543188476563,-0.5496025085449219,1018.0764770507812
1742829766024161800,55.65116186523438,-0.5126075744628906,1018.0722808837891
1742829767099850000,56.72685009765625,-0.50732421875,1018.0714416503906
1742829768175551000,57.80255102539063,-0.4967536926269531,1018.0704498291016
1742829769251223800,58.87822387695312,-0.4967536926269531,1018.0699920654297
1742829770326912000,59.953912109375,-0.4914703369140625,1018.0698394775391
1742829771402570000,61.02957006835938,-0.4914703369140625,1018.0697631835938
1742829772478233900,62.10523388671875,-0.4914703369140625,1018.0697631835938
1742829773553918700,63.180918701171876,-0.4967536926269531,1018.0699920654297
1742829774629612800,64.25661279296875,-0.4967536926269531,1018.0702209472656
1742829775705312000,65.33231201171876,-0.5020408630371094,1018.0710601806641
1742829776781056000,66.40805590820312,-0.5178947448730469,1018.072509765625
1742829777856813800,67.48381372070313,-0.5178947448730469,1018.072509765625
1742829778932542000,68.5595419921875,-0.475616455078125,1018.0678558349609
1742829780008272000,69.63527197265626,-0.4069175720214844,1018.05908203125
1742829781083986000,70.71098583984374,-0.3435020446777344,1018.0514526367188
1742829782159725800,71.78672583007813,-0.2695159912109375,1018.0426788330078
1742829783235423000,72.86242309570312,-0.17967605590820312,1018.0321502685547
1742829784311121000,73.93812084960938,-0.14796829223632812,1018.0283355712891
1742829785386878000,75.0138779296875,-0.14796829223632812,1018.0283355712891
1742829786462602000,76.08960205078125,-0.13211441040039062,1018.0263519287109
1742829787538369800,77.16536987304687,-0.12154388427734375,1018.0246734619141
1742829788614081800,78.24108178710938,-0.11626052856445312,1018.0243682861328
1742829789689836000,79.3168359375,-0.10040664672851562,1018.0225372314453
1742829790765580800,80.39258081054687,-0.10040664672851562,1018.0225372314453
1742829791841279000,81.46827905273437,-0.10569000244140625,1018.0230712890625
1742829792916975000,82.54397509765624,-0.10569000244140625,1018.0230712890625
1742829793992703000,83.61970288085938,-0.07398223876953125,1018.018798828125
