time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1742829710493495000,0.120495117,55.94619178771973,-1,-1,51.510092490624324,8.946241379,-1,168.67459011337039,35.56468963623047,0.005664588,-1
1742829710539134000,0.166134033,55.94619178771973,-1,-1,51.51008859044538,8.946241379,-1,295.35287377593437,35.56468963623047,0.005699722,-1
1742829710541277000,0.168276855,55.94619178771973,-1,-1,51.510088589782214,8.946241379,-1,295.3528792077199,35.56468963623047,0.005699728,-1
1742829710910200000,0.537199951,55.00610542297363,-1,-1,51.50995200753784,10.291818618774414,-1,48.596464953195465,23.01904297,0.005387721,-1
1742829714852813800,4.479813720703125,53.90179443359375,2.240000009536743,-1,51.509966030764865,9.187507629394531,-1,21.54374598741386,3,0.005130898,2.0799999237060547
1742829715852812500,5.4798125,53.13653564453125,1.1200000047683716,50.69816511449768,51.51004398246436,8.422248840332031,201.4453125,9.542248570091965,3,0.005202563,1.3899999856948853
1742829716852810000,6.479810059,54.19952392578125,0.75,51.51473472034021,51.51006954726903,9.485237121582031,153.28125,13.138977517720098,3,0.005229888,1.149999976158142
1742829717852809700,7.479809814453125,54.75109863,0.8700000047683716,51.79391187247531,51.51005701632379,10.036811828613281,156.796875,9.931842203306799,3,0.005273307,1.059999942779541
1742829718852807200,8.479807129,55.36859130859375,1.2899999618530273,38.25555486197209,51.510110702413606,10.654304504394531,225.703125,14.514475050816085,3,0.005194768,2.1500000953674316
1742829719853104600,9.480104736328125,50.26336669921875,1.5299999713897705,19.981711586683133,51.51016748980759,5.549079895019531,54.4921875,12.652257653427583,3,0.005275151,4.949999809265137
1742829720853104000,10.480104248046874,54.04150391,0.8700000047683716,33.94191474070468,51.51021740404098,9.327217102050781,137.109375,16.42956671370528,3,0.005237097,2.1500000953674316
1742829721853100300,11.480100341796875,54.03802490234375,0.8399999737739563,33.89383703913696,51.510089454289066,9.323738098144531,137.8125,13.000511369198703,3,0.005232822,1.659999966621399
1742829722849106200,12.476106201171875,51.86846923828125,1.3700000047683716,69.88226087028507,51.510061542551504,7.154182434082031,228.1640625,13.205284749668206,3,0.005159313,1.600000023841858
1742829723000096500,12.627096435546875,54.53930664,0.9599999785423279,50.92681594224761,51.50996007961361,9.825019836425781,151.171875,9.896773564,4,0.005200384,1.1100000143051147
1742829725000081000,14.627080810546875,55.70361328,1.3799999952316284,56.44529460291609,51.50989788589208,10.989326477050781,199.6875,4.039664570501401,3,0.005154954,1.2599999904632568
1742829726000081700,15.62708154296875,54.92297363,1.0499999523162842,33.89393266178534,51.50986863305001,10.208686828613281,176.484375,3.6696705711342195,3,0.005150344,1.2599999904632568
1742829727000074200,16.62707422,54.922973822802305,1.0509848138324027,47.74698855,51.509857329487836,10.208687018603086,176.4843758710773,4.633986990138717,3.5143564998465866,0.005151457,1.2599999904632322
1742829728000071200,17.62707129,55.29040547646582,1.706171950413669,74.16420524,51.50984864755675,10.576118672266603,197.57812050561634,4.637407816558702,3.509841275002203,0.005118283,1.320000052452059
1742829729000133600,18.627133544921875,54.71344037,1.5299999714046912,41.35464049974407,51.50981537798266,9.999153568409383,182.8124988050195,4.635289947179594,3.512637775001094,0.005106489,2.1600000858305646
1742829730000049700,19.627049560546876,53.54577679838985,1.5467019150946042,43.32125913708705,51.509802869439845,8.831489994190633,200.7421788760944,4.657045350823804,3.483743049244481,0.00508191,2.160000085830564
1742829731000052500,20.627052490234377,53.209900320507586,1.2100000381651779,49.50810027427135,51.50979860497226,8.495613516308367,161.01563277530573,4.6377034829972335,3.5094505889931207,0.0051037,2.119999885558965
1742829732000049200,21.627049072265624,52.82867452315986,1.6595518071978028,71.68996580521201,51.50979233244093,8.114387718960643,166.64062849064166,4.677406353714244,3.4563574518591764,0.005101244,1.3400000333785715
1742829733000045600,22.627045654296875,52.59033222403377,1.0917735885546804,49.91720414816194,51.50978018,7.876045419834554,190.8984347929071,4.641824985163347,3.5039974086608754,0.005075891,1.2699999809264881
1742829734000039000,23.627038818359374,52.67596453335136,0.7200000286198958,36.30760198615738,51.509771361809214,7.961677729152143,174.37500131500943,4.610054703240785,3.545692127909072,0.005084969,1.1900000572204383
1742829735000033000,24.627032958984376,52.14892598427832,0.7200000286222985,32.99988138999819,51.509761115737305,7.4346391800791025,175.78125110306192,4.609173037296069,3.546838161666214,0.005095762,1.3300000429153156
1742829736000026000,25.627026123046875,51.53741473,0.7300000190836928,35.76779164548378,51.50975290596777,6.8231279300525784,174.02343894386146,4.6091730174699155,3.5468381874306183,0.005106256,1.2300000190734635
1742829737000020500,26.62702051,51.35186786018312,0.7300000190836785,41.972741883778966,51.50974460655592,6.637581055983901,176.8359382653958,4.609172998548124,3.546838212019789,0.005112514,1.2300000190734635
1742829738000015400,27.627015380859376,50.80749530158937,0.7200000286205632,34.01570468940292,51.50973604535957,6.093208497390151,178.2421879253694,4.609172978991837,3.5468382374334966,0.005119288,1.2300000190734637
1742829739000009500,28.627009521484375,50.222839563153684,0.7200000286226765,32.89422519372726,51.50972519158095,5.508552758954465,188.0859353591905,4.609172955284087,3.546838268242096,0.005120619,1.3500000238418277
1742829740000004400,29.62700439453125,50.48504659626633,0.7200000286226453,55.75991585555653,51.50971976231778,5.7707597920671105,199.3359324605844,4.609172942230847,3.5468382852049896,0.005117754,1.3500000238418273
