time,seconds_elapsed,relativeAltitude,pressure
1742829784933234000,74.56023388671875,0.20000000298023224,101.80084228515625
1742829788141132800,77.7681328125,0.25,101.80055236816406
1742829789970144000,79.59714404296875,0.2800000011920929,101.80085754394531
1742829792581964000,82.20896411132813,0.28999999165534973,101.80116271972656
1742829795245384000,84.87238403320312,0.28999999165534973,101.80016326904297
1742829797642408000,87.26940795898437,0.5400000214576721,101.79936218261719
1742829800210342000,89.837341796875,0.9599999785423279,101.7983627319336
1742829802775321900,92.40232177734374,1.149999976158142,101.79512023925781
1742829805326845200,94.95384521484375,1.2400000095367432,101.7926025390625
1742829808116853000,97.74385302734375,1.4500000476837158,101.78926849365234
1742829810436254000,100.06325390625,1.6799999475479126,101.78705596923828
1742829812999342800,102.6263427734375,1.7899999618530273,101.78446960449219
1742829815557591800,105.184591796875,1.9600000381469727,101.78028106689453
1742829818136746000,107.76374609375,2.1600000858306885,101.77855682373047
1742829820687391000,110.31439086914062,2.2100000381469727,101.77729034423828
1742829823265250000,112.89225,2.119999885559082,101.77777862548828
1742829825812028000,115.43902783203124,2.0399999618530273,101.77877044677734
1742829828369897700,117.99689770507813,1.9600000381469727,101.78081512451172
1742829830914911000,120.54191088867188,1.590000033378601,101.78483581542969
1742829833494750000,123.12175,1.3300000429153442,101.78826141357422
1742829836044813000,125.67181298828125,1.340000033378601,101.78746795654297
1742829838628484900,128.25548486328125,1.3899999856948853,101.78594207763672
1742829841175507000,130.8025068359375,1.3600000143051147,101.78573608398438
1742829843726066200,133.35306616210937,1.3799999952316284,101.78592681884766
1742829846277723000,135.90472290039062,1.3799999952316284,101.78565216064453
1742829848858063000,138.48506298828124,1.2699999809265137,101.78571319580078
1742829851405421000,141.03242114257813,0.9900000095367432,101.78710174560547
1742829853960094000,143.58709399414062,0.8299999833106995,101.79165649414062
1742829856651712800,146.27871264648437,1.0099999904632568,101.79217529296875
1742829859106850000,148.73385009765624,1.1699999570846558,101.79132080078125
1742829861637580800,151.26458081054687,1.0499999523162842,101.79206848144531
1742829864220118000,153.84711791992189,0.9100000262260437,101.7938461303711
1742829866765897000,156.39289697265625,0.8999999761581421,101.79365539550781
1742829869328116000,158.95511596679688,0.9200000166893005,101.79362487792969
1742829871884141800,161.51114184570312,0.949999988079071,101.79386138916016
1742829874478088000,164.105087890625,0.9599999785423279,101.79473114013672
1742829877030005000,166.6570048828125,1.0099999904632568,101.79527282714844
1742829879575752000,169.202751953125,1.059999942779541,101.79510498046875
1742829882129686800,171.75668676757812,1.090000033378601,101.79459381103516
1742829884709505000,174.3365051269531,1.0700000524520874,101.79447937011719
1742829887256000000,176.883,1.0199999809265137,101.7945785522461
1742829889805010000,179.43201000976563,1.0199999809265137,101.79461669921875
1742829892390242000,182.01724194335938,1.0399999618530273,101.79444885253906
1742829894935760100,184.5627600097656,1.1699999570846558,101.79316711425781
1742829897486490000,187.11348999023437,1.3899999856948853,101.79043579101562
1742829900065369000,189.692369140625,1.6799999475479126,101.78821563720703
1742829902640918000,192.26791796875,1.8799999952316284,101.78441619873047
1742829905166762000,194.7937619628906,1.9800000190734863,101.78319549560547
1742829907717505000,197.34450512695312,1.9199999570846558,101.78263854980469
1742829910295691000,199.92269091796874,1.8300000429153442,101.78289794921875
1742829912849352000,202.47635205078126,1.649999976158142,101.78333282470703
1742829915427428900,205.05442895507812,1.5099999904632568,101.78280639648438
1742829917975962000,207.60296215820313,1.5099999904632568,101.78242492675781
1742829920532798000,210.1597978515625,1.5499999523162842,101.78250885009766
1742829923107602200,212.73460229492187,1.600000023841858,101.78361511230469
1742829925656003000,215.28300317382812,1.5800000429153442,101.78411865234375
1742829928205694000,217.83269384765626,1.4600000381469727,101.78487396240234
1742829930787040000,220.4140400390625,1.1399999856948853,101.78605651855469
1742829933337884000,222.9648837890625,0.7799999713897705,101.78780364990234
1742829935893137000,225.52013696289063,0.5299999713897705,101.79158782958984
1742829938467609900,228.09460986328125,0.41999998688697815,101.79383850097656
1742829941018687000,230.64568701171876,0.4399999976158142,101.7950668334961
1742829943566335000,233.1933349609375,0.47999998927116394,101.79486846923828
1742829946164952000,235.7919521484375,0.6499999761581421,101.79454040527344
1742829948700742000,238.32774194335937,0.8700000047683716,101.79249572753906
1742829951247513000,240.87451318359376,1.0199999809265137,101.79046630859375
1742829953794849000,243.42184912109374,1,101.79026794433594
1742829956381412000,246.008412109375,0.9300000071525574,101.791015625
1742829958929588000,248.556587890625,0.8999999761581421,101.79291534423828
1742829961506404900,251.13340478515624,0.9300000071525574,101.79421997070312
1742829964056686800,253.68368676757814,0.9100000262260437,101.79492950439453
1742829966608707000,256.23570703125,0.8399999737739563,101.79521179199219
1742829969159241000,258.78624096679687,0.8399999737739563,101.7953109741211
1742829971713225700,261.3402258300781,0.8399999737739563,101.79402923583984
1742829974273480000,263.90047998046873,0.7400000095367432,101.7930679321289
1742829976871507200,266.4985070800781,0.7200000286102295,101.79303741455078
1742829979395451100,269.022451171875,0.8700000047683716,101.79344177246094
1742829981954509000,271.58150903320313,0.8799999952316284,101.79280090332031
1742829984638672000,274.265671875,0.8399999737739563,101.79266357421875
1742829987097845000,276.72484497070315,0.8199999928474426,101.79401397705078
1742829989647440000,279.27443994140623,0.800000011920929,101.79517364501953
1742829992199178000,281.8261779785156,0.8600000143051147,101.79596710205078
1742829994779460900,284.4064609375,0.8600000143051147,101.79578399658203
1742829997330541000,286.957541015625,0.7900000214576721,101.79534149169922
1742829999906014000,289.53301391601565,0.699999988079071,101.79464721679688
