time,seconds_elapsed,steps
1742829723341270500,12.9682705078125,10
1742829725900609800,15.52760986328125,14
1742829728459950000,18.0869501953125,20
1742829731019286500,20.64628662109375,24
1742829733578619600,23.20561962890625,30
1742829736137947100,25.764947021484375,34
1742829738697269500,28.32426953125,38
1742829741256584200,30.883584228515623,44
1742829743815893200,33.44289331054687,48
1742829746375199700,36.00219970703125,52
1742829748934504200,38.561504150390626,58
1742829751493807400,41.12080737304687,63
1742829754053112300,43.6801123046875,67
1742829756612412000,46.23941186523437,71
1742829759171706000,48.7987060546875,76
1742829761731004200,51.35800415039063,79
1742829764290357000,53.91735693359375,83
1742829766849778700,56.47677880859375,83
1742829769409263600,59.036263671875,83
1742829771968792000,61.5957919921875,83
1742829774528346600,64.1553466796875,83
1742829777087920000,66.71492016601563,83
1742829779647510000,69.27451000976562,83
1742829782207118600,71.83411865234375,83
1742829784769243600,74.39624365234376,83
1742829787330130700,76.95713061523438,83
1742829795009115600,84.63611572265626,83
1742829797568823300,87.1958232421875,93
1742829800128554000,89.75555395507813,98
1742829802688317200,92.31531713867187,103
1742829805248110000,94.87511010742188,108
1742829807807918300,97.43491845703124,113
1742829810367736800,99.99473681640625,117
1742829812927569200,102.55456909179688,122
1742829815487413500,105.11441357421874,127
1742829818047275500,107.67427563476562,132
1742829820607165700,110.23416577148437,135
1742829823167077600,112.79407763671875,140
1742829825727014100,115.35401416015625,145
1742829828286974700,117.913974609375,149
1742829830846957600,120.47395751953125,153
1742829833406952400,123.03395239257813,156
1742829835966947800,125.59394775390625,158
1742829838526952700,128.15395263671874,161
1742829841086935800,130.71393579101561,162
1742829851326655700,140.95365576171875,162
1742829853886561800,143.51356176757812,173
1742829856446461400,146.07346142578126,173
1742829859006355200,148.63335522460937,173
1742829861566249700,151.19324975585937,173
1742829864126154500,153.75315454101562,181
1742829866686069500,156.31306958007812,186
1742829869245999400,158.87299926757814,190
1742829871805948700,161.43294873046875,195
1742829874365912000,163.992912109375,200
1742829876925878300,166.55287817382813,205
1742829879485854700,169.11285473632813,210
1742829882045835000,171.6728349609375,215
1742829884605825000,174.23282495117186,219
1742829887165821400,176.79282153320312,224
1742829889725827000,179.3528271484375,229
1742829892285833500,181.91283349609375,234
1742829894845841400,184.47284130859376,239
1742829897405851000,187.03285083007813,244
1742829899965870800,189.59287084960937,249
1742829902525903000,192.15290307617187,253
1742829905085932000,194.71293212890626,258
1742829907645952800,197.27295288085938,263
1742829910205975000,199.83297509765626,268
1742829912766004000,202.39300390625,272
1742829915326027500,204.95302758789063,277
1742829917886034700,207.51303466796875,281
1742829920446027800,210.07302783203124,286
1742829923006004200,212.63300415039063,290
1742829925565964800,215.19296484375,295
1742829928125909800,217.75290966796874,299
1742829930685843200,220.31284326171874,304
1742829933245766700,222.8727666015625,309
1742829935805677600,225.43267749023437,313
1742829938365572900,227.99257275390624,319
1742829940925456000,230.5524558105469,323
1742829943485335300,233.11233520507812,327
1742829946045207600,235.67220751953124,331
1742829948605075500,238.23207543945313,332
1742829951164947500,240.79194750976563,332
1742829958844624600,248.47162475585938,332
1742829961404542500,251.03154248046874,345
1742829963964468000,253.59146801757814,350
1742829966524397300,256.15139721679685,355
1742829969084331800,258.7113317871094,358
1742829971644271900,261.2712719726562,362
1742829974204221200,263.83122119140626,366
1742829976764181200,266.39118115234373,370
1742829979324145000,268.9511447753906,375
1742829981884119300,271.5111193847656,379
1742829984444116200,274.0711162109375,383
1742829987004130800,276.631130859375,388
1742829989564158500,279.19115844726565,393
1742829992124198700,281.75119873046873,397
1742829994684251000,284.3112509765625,402
1742829997244307000,286.8713068847656,406
1742829999804363300,289.43136328125,411
1742830002364420000,291.99142016601564,415
1742830004924483800,294.55148388671876,420
1742830007484552000,297.1115520019531,424
1742830010044621800,299.6716218261719,429
1742830012604692700,302.23169262695313,433
1742830015164766500,304.79176635742186,438
1742830017724840000,307.35183984375,442
1742830020284911000,309.9119111328125,447
1742830022844982800,312.4719826660156,451
1742830025405057800,315.0320578613281,455
1742830027965128400,317.59212841796875,460
1742830030525197600,320.15219750976564,464
1742830033085270500,322.7122705078125,468
1742830035645346800,325.27234692382814,472
1742830038205426700,327.8324267578125,477
1742830040765504800,330.3925048828125,481
1742830043325583000,332.9525830078125,486
1742830045885666800,335.51266674804685,490
1742830048445761000,338.07276098632815,495
1742830051005858000,340.63285815429685,499
1742830053565957400,343.1929572753906,504
1742830056126056200,345.75305615234373,508
1742830058686154000,348.3131540527344,513
1742830061246252800,350.8732526855469,518
1742830063806355700,353.4333557128906,522
1742830066366453500,355.99345361328125,526
1742830068926536200,358.5535361328125,531
1742830071486611000,361.1136108398438,533
1742830074046674200,363.6736740722656,533
1742830076606728400,366.233728515625,533
1742830079166776600,368.7937766113281,542
1742830081726825700,371.35382568359375,547
1742830084286923800,373.913923828125,551
1742830086847071200,376.4740712890625,556
1742830089407216000,379.0342160644531,561
1742830091967350300,381.5943503417969,565
1742830094527467500,384.1544675292969,569
1742830097087575600,386.71457543945314,573
1742830099647676400,389.27467651367186,578
1742830102207772700,391.83477270507814,583
1742830104767860000,394.3948598632812,587
1742830107327938300,396.95493823242185,592
1742830109888014300,399.5150144042969,596
1742830112448088600,402.0750886230469,601
1742830115008167200,404.63516723632813,605
1742830117568246800,407.19524682617185,610
1742830120128326400,409.75532641601563,614
1742830122688404000,412.3154040527344,615
1742830125248472800,414.8754729003906,615
1742830127808534500,417.43553442382813,615
1742830130368582000,419.99558178710936,625
1742830132928610300,422.5556103515625,625
1742830135491124700,425.11812475585936,625
1742830138051127800,427.6781279296875,625
1742830140611137300,430.23813720703123,630
1742830143171162000,432.798162109375,634
1742830145731197000,435.3581970214844,639
1742830148291236400,437.918236328125,643
1742830150851274000,440.47827392578125,648
1742830153411317000,443.03831689453125,652
1742830155971357400,445.598357421875,657
1742830158531395000,448.15839501953127,662
1742830161091429400,450.71842944335935,666
1742830163651463400,453.2784633789062,671
1742830166214012700,455.8410126953125,675
1742830168774083000,458.4010830078125,675
1742830171334136000,460.96113598632815,675
