time,seconds_elapsed,bpm
1733921286998134500,2.423134521484375,89
1733921291998134500,7.423134521484375,90
1733921296998134500,12.423134521484375,94
1733921301998134500,17.423134521484375,93
1733921307998134500,23.423134521484375,92.00000000000001
1733921315998134500,31.423134521484375,94
1733921317998134500,33.42313452148438,94
1733921321998134500,37.42313452148438,92.00000000000001
1733921326998134500,42.42313452148438,93
1733921335998134500,51.42313452148438,90
1733921337998134500,53.42313452148438,88
1733921344998134500,60.42313452148438,92.00000000000001
1733921350998134500,66.42313452148437,95
1733921351998134500,67.42313452148437,95
1733921359998134500,75.42313452148437,97
1733921361998134500,77.42313452148437,97
1733921366998134500,82.42313452148437,99
1733921375998134500,91.42313452148437,100
1733921378998134500,94.42313452148437,99
1733921381998134500,97.42313452148437,98
1733921390998134500,106.42313452148437,92.00000000000001
1733921391998134500,107.42313452148437,91
1733921396998134500,112.42313452148437,89
1733921401998134500,117.42313452148437,90
1733921406998134500,122.42313452148437,94
1733921415998134500,131.42313452148437,95
1733921419998134500,135.42313452148437,95
1733921424998134500,140.42313452148437,96
1733921427998134500,143.42313452148437,96
1733921431998134500,147.42313452148437,99
1733921440998134500,156.42313452148437,99
1733921441998134500,157.42313452148437,99
1733921448998134500,164.42313452148437,99
1733921451998134500,167.42313452148437,98
1733921456998134500,172.42313452148437,97
1733921462998134500,178.42313452148437,96
1733921472998134500,188.42313452148437,95
1733921476998134500,192.42313452148437,93
1733921495998134500,211.42313452148437,93
1733921497998134500,213.42313452148437,92.00000000000001
1733921504998134500,220.42313452148437,94
1733921509998134500,225.42313452148437,94
1733921515998134500,231.42313452148437,94
1733921516998134500,232.42313452148437,94
1733921521998134500,237.42313452148437,94
1733921529998134500,245.42313452148437,92.00000000000001
1733921531998134500,247.42313452148437,92.00000000000001
1733921538998134500,254.42313452148437,91
1733921541998134500,257.42313452148437,90
1733921550998134500,266.42313452148437,88
1733921551998134500,267.42313452148437,88
1733921557998134500,273.42313452148437,90
1733921565998134500,281.42313452148437,91
1733921570998134500,286.42313452148437,91
1733921571998134500,287.42313452148437,92.00000000000001
1733921578998134500,294.42313452148437,93
1733921581998134500,297.42313452148437,92.00000000000001
1733921600998134500,316.42313452148437,96
1733921602998134500,318.42313452148437,97
1733921609998134500,325.42313452148437,95
1733921615998134500,331.42313452148437,95
1733921619998134500,335.42313452148437,95
1733921621998134500,337.42313452148437,95
1733921635998134500,351.42313452148437,96
1733921638998134500,354.42313452148437,95
1733921643998134500,359.42313452148437,96
1733921659998134500,375.42313452148437,98
1733921662998134500,378.42313452148437,98
1733921670998134500,386.42313452148437,96
1733921675998134500,391.42313452148437,98
1733921676998134500,392.42313452148437,98
1733921685998134500,401.42313452148437,98
1733921688998134500,404.42313452148437,97
1733921694998134500,410.42313452148437,97
1733921697998134500,413.42313452148437,98
1733921705998134500,421.42313452148437,97
1733921708998134500,424.42313452148437,98
1733921712998134500,428.42313452148437,97
1733921718998134500,434.42313452148437,97
1733921725998134500,441.42313452148437,95
1733921726998134500,442.42313452148437,95
1733921735998134500,451.42313452148437,95
1733921740998134500,456.42313452148437,92.00000000000001
1733921741998134500,457.42313452148437,92.00000000000001
1733921746998134500,462.42313452148437,93
1733921751998134500,467.42313452148437,97
1733921756998134500,472.42313452148437,98
1733921761998134500,477.42313452148437,97
1733921768998134500,484.42313452148437,96
1733921771998134500,487.42313452148437,95
1733921779998134500,495.42313452148437,97
1733921785998134500,501.42313452148437,97
1733921789998134500,505.42313452148437,95
1733921791998134500,507.42313452148437,94
1733921800998134500,516.4231345214844,94
1733921802998134500,518.4231345214844,95
1733921809998134500,525.4231345214844,96
1733921815998134500,531.4231345214844,95
1733921816998134500,532.4231345214844,96
1733921821998134500,537.4231345214844,96
1733921830998134500,546.4231345214844,96
1733921834998134500,550.4231345214844,97
1733921840998134500,556.4231345214844,98
1733921843998134500,559.4231345214844,98
1733921846998134500,562.4231345214844,97
1733921851998134500,567.4231345214844,97
1733921856998134500,572.4231345214844,98
1733921861998134500,577.4231345214844,99
1733921870998134500,586.4231345214844,99
1733921871998134500,587.4231345214844,99
1733921877998134500,593.4231345214844,97
1733921881998134500,597.4231345214844,97
1733921887998134500,603.4231345214844,96
1733921895998134500,611.4231345214844,96
1733921900998134500,616.4231345214844,96
1733921904998134500,620.4231345214844,96
1733921910998134500,626.4231345214844,94
1733921911998134500,627.4231345214844,94
1733921916998134500,632.4231345214844,94
1733921925998134500,641.4231345214844,95
1733921930998134500,646.4231345214844,97
1733921934998134500,650.4231345214844,99
1733921940998134500,656.4231345214844,97
1733921943998134500,659.4231345214844,95
1733921946998134500,662.4231345214844,95
1733921951998134500,667.4231345214844,95
1733921956998134500,672.4231345214844,95
1733921965998134500,681.4231345214844,97
1733921970998134500,686.4231345214844,95
1733921974998134500,690.4231345214844,93
1733921976998134500,692.4231345214844,93
1733921982998134500,698.4231345214844,91
1733921987998134500,703.4231345214844,94
1733921994998134500,710.4231345214844,94
1733921998998134500,714.4231345214844,94
1733922001998134500,717.4231345214844,93
1733922020998134500,736.4231345214844,95
1733922022998134500,738.4231345214844,95
1733922026998134500,742.4231345214844,96
1733922034998134500,750.4231345214844,99
1733922036998134500,752.4231345214844,99
1733922045998134500,761.4231345214844,98
1733922046998134500,762.4231345214844,98
1733922055998134500,771.4231345214844,99
1733922056998134500,772.4231345214844,99
1733922063998134500,779.4231345214844,98
1733922066998134500,782.4231345214844,97
1733922071998134500,787.4231345214844,95
1733922076998134500,792.4231345214844,95
1733922085998134500,801.4231345214844,96
1733922087998134500,803.4231345214844,97
1733922093998134500,809.4231345214844,94
1733922145998134500,861.4231345214844,96
1733922146998134500,862.4231345214844,95
1733922154998134500,870.4231345214844,94
1733922159998134500,875.4231345214844,93
1733922163998134500,879.4231345214844,93
1733922170998134500,886.4231345214844,96
1733922171998134500,887.4231345214844,97
1733922176998134500,892.4231345214844,100
1733922182998134500,898.4231345214844,102
1733922187998134500,903.4231345214844,100
1733922192998134500,908.4231345214844,101
1733922200998134500,916.4231345214844,99
1733922203998134500,919.4231345214844,99
1733922206998134500,922.4231345214844,100
1733922211998134500,927.4231345214844,99
1733922220998134500,936.4231345214844,98
1733922221998134500,937.4231345214844,99
1733922226998134500,942.4231345214844,98
1733922235998134500,951.4231345214844,97
1733922239998134500,955.4231345214844,95
1733922245998134500,961.4231345214844,82
1733922249998134500,965.4231345214844,80
1733922251998134500,967.4231345214844,80
1733922256998134500,972.4231345214844,85
1733922261998134500,977.4231345214844,88
1733922266998134500,982.4231345214844,88
1733922271998134500,987.4231345214844,90
1733922276998134500,992.4231345214844,95
1733922285998134500,1001.4231345214844,95
1733922286998134500,1002.4231345214844,94
1733922291998134500,1007.4231345214844,93
1733922300998134500,1016.4231345214844,93
1733922301998134500,1017.4231345214844,93
1733922306998134500,1022.4231345214844,92.00000000000001
1733922311998134500,1027.4231345214844,93
1733922316998134500,1032.4231345214844,93
1733922325998134500,1041.4231345214844,95
1733922330998134500,1046.4231345214844,93
1733922335998134500,1051.4231345214844,93
1733922336998134500,1052.4231345214844,93
1733922341998134500,1057.4231345214844,87
1733922346998134500,1062.4231345214844,88
